,character_list,dialogue_list,episode_code,word_count
222,Sokka, What was it that kid said? Yee-ha? Hup hup? Wahoo? Uh... yip yip?,102,13.0
223,Katara," You did it, Sokka!",102,4.0
224,Sokka," He's flying! He's flying! Katara, he's—!  I mean, big deal, he's flying.",102,12.0
225,Aang," Thanks anyway!  You haven't seen my staff around, have you? ",102,10.0
226,Zuko, What is that?  Looks like I underestimated you.,102,8.0
227,Aang, Appa!,102,1.0
228,Katara, Aang! Aang! AANG!  Aang! No!,102,5.0
229,Sokka, Now that was some waterbending!,102,5.0
230,Katara , Aang! Are you okay?,102,4.0
231,Aang, Hey Katara. Hey Sokka. Thanks for coming.,102,7.0
232,Sokka," Well, I couldn't let you have all the glory.",102,9.0
233,Aang, I dropped my staff.,102,4.0
234,Sokka, Ha! That's from the Water Tribe!  Got it!,102,8.0
235,Katara," Hurry up, Sokka!",102,3.0
236,Sokka, Yip yip! Yip yip!  I'm just a guy with a boomerang; I didn't ask for all this flying and magic.,102,20.0
237,Iroh, Huh?,102,1.0
238,Zuko, Shoot them down!,102,3.0
239,Iroh, Good news for the Fire Lord. The nation's greatest threat is just a little kid.,102,15.0
240,Zuko," That kid, Uncle, just did this.  I won't underestimate him again. Dig this ship out and follow them! As soon as you're done with that.",102,25.0
241,Katara, How did you do that? With the water? It was the most amazing thing I've ever seen.,102,17.0
242,Aang, I don't know. I just sort of... did it.,102,9.0
243,Katara, Why didn't you tell us you were the Avatar?,102,9.0
244,Aang, Because... I never wanted to be.,102,6.0
245,Katara," But Aang, the world's been waiting for the Avatar to return and finally put an end to this war.",102,19.0
246,Aang, And how am I going to do that?,102,8.0
247,Katara," According to legend, you need to first master water, then earth, then fire, right?",102,14.0
248,Aang, That's what the monks told me.,102,6.0
249,Katara," Well, if we go to the North Pole you can master waterbending.",102,12.0
250,Aang, We can learn it together!,102,5.0
251,Katara," And Sokka, I'm sure you'll get to knock some firebender heads on the way.",102,14.0
252,Sokka, I'd like that. I'd really like that.,102,7.0
253,Katara, Then we're in this together.,102,5.0
254,Aang," All right, but before I learn waterbending, we have some serious business to attend to  here, here, and here.",102,19.0
255,Katara, What's there?,102,2.0
256,Aang," Here  we'll ride the hopping llamas. Then waaaay over here  we'll surf on the backs of giant koi fish. Then back over here we'll ride the hog-monkeys. They don't like people riding them, but that's what makes it fun!",102,39.0
257,Aang,"  Wait 'til you see it, Katara. The Air Temple is one of the most beautiful places in the world.",103,19.0
258,Katara,"  Aang, I know you're excited, but it's been a hundred years since you've been home.",103,15.0
259,Aang, That's why I'm so excited!,103,5.0
260,Katara, It's just that a lot can change in all that time.,103,11.0
261,Aang," Wake up, Sokka! Air Temple here we come!  I know, but I need to see it for myself.",103,18.0
262,Sokka, Sleep now... temple later...,103,4.0
263,Aang, Sokka! Wake up!  There's a prickle snake in your sleeping bag!,103,11.0
264,Sokka,  Aaahhh! Get it off! Get it off! Aaahhh! ,103,8.0
265,Aang,  Great! You're awake. Let's go.,103,5.0
266,Zuko," Uncle, I want the repairs made as quickly as possible. I don't want to stay too long and risk losing his trail.",103,22.0
267,Iroh, You mean the Avatar?,103,4.0
268,Zuko,  Don't mention his name on these docks! Once word gets out that he's alive every firebender will be out looking for him and I don't want anyone getting in the way.,103,31.0
269,Zhao,"  Getting in the way of what, Prince Zuko?",103,8.0
270,Zuko,  Captain Zhao.,103,2.0
271,Zhao, It's Commander now. And General Iroh--  --great hero of our nation.,103,11.0
272,Iroh,  general.,103,1.0
273,Zhao, The Fire Lord's brother and son are welcome guests any time. What brings you to my harbor?,103,17.0
274,Iroh, Our ship is being repaired. ,103,5.0
275,Zhao, That's quite a bit of damage.,103,6.0
276,Zuko, Yes... you wouldn't believe what happened.  Uncle! Tell Commander Zhao what happened.,103,12.0
277,Iroh," Yes, I will do that. It was incredible.  What... did we crash or something?",103,14.0
278,Zuko,"  Uh, yes! Right into an Earth Kingdom ship.",103,8.0
279,Zhao, Really? You must regale me with all the thrilling details.  Join me for a drink?,103,15.0
280,Zuko," Sorry, but we have to go.",103,6.0
281,Iroh," Prince Zuko, show Commander Zhao your respect.  We would be honored to join you. Do you have any ginseng tea? It's my favorite.",103,23.0
282,Sokka," Hey! Who ate all my blubbered seal jerky?   Hey, stomach, be quiet, all right? I'm trying to find us some food. ",103,21.0
283,Aang," Oh, that was ? I used it to start the campfire last night. Sorry.",103,14.0
284,Sokka,"  You WHAT? Awww, no wonder the flames smelled so good.",103,10.0
285,Aang, The Batola mountain range! We're almost there!,103,7.0
286,Katara,"  Aang? Before we get to the temple, I want to talk to you about the airbenders.",103,16.0
287,Aang, What about 'em?,103,3.0
288,Katara,"  Well, I just want you to be prepared for what you might see. The Fire Nation is ruthless. They killed my mother and they could have done the same to your people.",103,32.0
289,Aang,  Just because no one has  an airbender doesn't mean the Fire Nation killed them all.  They probably escaped.,103,18.0
290,Katara, I know it's hard to accept.,103,6.0
291,Aang,"  Yip yip!   You don't understand, Katara. The only way to get to an airbender temple is on a flying bison, and I doubt the Fire Nation has any flying bison. Right, Appa?",103,32.0
292,Katara," Aang, it's amazing!",103,3.0
293,Aang,"  We're home, buddy. We're home.",103,5.0
294,Zhao," The Fire Lord will finally claim victory in this war.   And by year's end, the Earth Kingdom capital will be under our rule.  ",103,23.0
295,Zuko,"  If my father thinks the rest of the world will follow him willingly, then he is a fool. ",103,18.0
296,Zhao," Two years at sea have done little to temper your tongue.  So, how is your search for the Avatar going?",103,20.0
297,Iroh,  My fault entirely. ,103,3.0
298,Zuko,  We haven't found him yet.,103,5.0
299,Zhao, Unless you found some evidence that the Avatar is alive.   Did you really expect to? The Avatar died a hundred years ago--  --along with the rest of the airbenders. ,103,29.0
300,Zuko,  No. Nothing.,103,2.0
301,Zhao,"  Prince Zuko, the Avatar is the only one who can stop the Fire Nation from winning this war.  If you have an --  --of loyalty left, you'll tell me what you've found.",103,32.0
302,Zuko,"  I haven't  anything. It's like you said. The Avatar probably died a long time ago. Come on, Uncle, we're going.",103,20.0
303,Guard," Commander Zhao, we interrogated the crew as you instructed. They confirmed Prince Zuko had the Avatar in custody, but let him escape.",103,22.0
304,Zhao," ... how exactly was your ship damaged?   Now, remind me... ",103,10.0
305,Sokka, So where do I get something to eat? ,103,8.0
306,Katara, You're lucky enough to be one of the first outsiders to  visit an airbender temple and all you can think about is food? ,103,23.0
307,Sokka, I'm just a simple guy with simple needs.,103,8.0
308,Aang, And... over there would be where the bison would sleep... and...   So that's where my friends and I would play airball!,103,21.0
309,Katara, What's wrong?,103,2.0
310,Aang, I can't believe how much things have changed.   This place used to be full of monks and lemurs and bison. Now there's just a bunch of weeds.  ,103,27.0
311,Sokka," So, uh, this airball game? How do you play? ",103,9.0
312,Aang," Hahaha! Aang seven, Sokka zero! ",103,5.0
313,Sokka," Katara, check this out.   Making him feel better is putting me in a world of hurt.",103,16.0
314,Katara,  Fire Nation.,103,2.0
315,Sokka, We should tell him.,103,4.0
316,Katara,"  Aang, there's something you need to see.",103,7.0
317,Aang, What is it?   Okay!,103,4.0
318,Katara,  Uh... just a new waterbending move I learned.,103,8.0
319,Aang, Nice one. But enough practicing. We have a whole temple to see! ,103,12.0
320,Sokka," Katara, firebenders were here. You can't pretend they weren't.  You know, you can't protect him forever.<u",103,16.0
321,Katara," If he finds out that the Fire Nation invaded his home, he'll be devastated.   I can for Aang's sake. ",103,19.0
322,Aang, I want you to meet somebody.   Hey guys! ,103,8.0
323,Sokka, Who's that?,103,2.0
324,Aang," Monk Gyatso, the greatest airbender in the world. He taught me everything I know. ",103,14.0
325,Gyatso, ... is in the gooey center!  But the true secret...,103,10.0
326,Aang, Hmm...,103,1.0
327,Gyatso," My ancient cake making technique isn't the only thing on your mind, is it, Aang?",103,15.0
328,Aang, This whole Avatar thing... maybe the monks made a mistake.,103,10.0
329,Gyatso, The only mistake they made was telling you before you turned sixteen. But we can't concern ourselves with what . We must act on what .,103,26.0
330,Aang,"  But Gyatso, how do I know if I'm ready for this?",103,11.0
331,Gyatso,  Your questions will be answered when you are old enough to enter the Air Temple sanctuary.  Inside you will meet someone who will guide you on your journey.,103,28.0
332,Aang,  Who is it?,103,3.0
333,Gyatso," Now, are you going to help me with these cakes, or not?  When you are ready he will reveal himself to you. ",103,22.0
334,Aang,  All right.,103,2.0
335,Gyatso, Hahaha!  One... two... three!,103,4.0
336,Katara,  You must miss him.,103,4.0
337,Aang, Yeah. ,103,1.0
338,Katara, Where are you going?,103,4.0
339,Aang,  The Air Temple Sanctuary. There's someone I'm ready to meet. ,103,10.0
340,Katara, But Aang... no one could have survived in there for a hundred years.,103,13.0
341,Aang, It's not impossible. I survived in the iceberg for that long.,103,11.0
342,Katara, Good point.,103,2.0
343,Aang," Katara, whoever's in there might help me figure out this Avatar thing!",103,12.0
344,Sokka," I don't suppose you have a key?   And whoever's in there might have a medley of delicious, cured meats!",103,19.0
345,Aang,"  Hello? Anyone home?   The key, Sokka, is airbending.",103,8.0
346,Zhao," So, a twelve-year-old boy bested you and your firebenders?  You're more pathetic than I thought.",103,15.0
347,Zuko," I underestimated him once, but it will not happen again.",103,10.0
348,Zhao," No, it will not, because you won't have a second chance.",103,11.0
349,Zuko,"  Commander Zhao, I've been hunting the Avatar for two years and I...",103,12.0
350,Zhao, Capturing the Avatar is too important to leave in a teenager's hands. He's mine now.   And you failed! ,103,18.0
351,Iroh, More tea please?,103,3.0
352,Sokka, Statues?! That's it? Where's the meat? ,103,6.0
353,Katara, Who are all these people?,103,5.0
354,Aang,"  I'm not sure, but it feels like I know them somehow. Look!  That one's an airbender!",103,16.0
355,Katara,"  And this one's a waterbender. They're lined up in a pattern. Air, water, earth and fire.",103,16.0
356,Aang, That's the Avatar cycle.,103,4.0
357,Katara," Of course! They're Avatars. All these people are your past lives, Aang.",103,12.0
358,Aang, Wow! There's so many!,103,4.0
359,Sokka,"  Past lives? Katara, you really believe in that stuff?",103,9.0
360,Katara," Aang, snap out of it!  It's true. When the Avatar dies he's reincarnated into the next nation in the cycle.",103,20.0
361,Aang,  Huh?,103,1.0
362,Katara, Who is that?,103,3.0
363,Aang," That's Avatar Roku, the Avatar before me.",103,7.0
364,Sokka, You were a firebender? No wonder I didn't trust you when we first met.,103,14.0
365,Katara, There's no writing. How do you know his name?,103,9.0
366,Aang, I'm not sure... I just know it somehow.,103,8.0
367,Sokka,  Firebender. Nobody make a sound.   You just couldn't get any weirder!,103,11.0
368,Katara,  You're making a sound!,103,4.0
369,Sokka,  That firebender won't know what hit 'em.  Shhhh!<u,103,8.0
370,Aang, Lemur!,103,1.0
371,Sokka,  Dinner...,103,1.0
372,Aang, Don't listen to him! You're going to be my new pet.,103,11.0
373,Sokka, Not if I get him first!,103,6.0
374,Aang,  Wait! Come back!,103,3.0
375,Sokka, Oof!   I wanna eat you!,103,5.0
376,Zhao," Once I'm out to sea, my guards will escort you back to your ship and you'll be free to go.  My search party is ready. ",103,25.0
